cluster_id_1,cluster_id_2,cluster_size_1,cluster_size_2,blocking_rules,blocking_rule_names,blocking_hits,record_pairs_compared,record_id_1,source_system_1,source_record_id_1,record_id_2,source_system_2,source_record_id_2,email_available,email_similarity,phone_available,phone_similarity,name_available,name_similarity,address_available,address_similarity,postcode_available,postcode_similarity,date_of_birth_available,date_of_birth_similarity,weighted_similarity_score,evidence_coverage,strong_identifiers,supporting_features,corroborating_features,supporting_feature_count,corroborating_feature_count,static_conflict,preliminary_decision,preliminary_reason,final_decision,final_reason,merge_performed,probabilistic_cluster_id_1,probabilistic_cluster_id_2
DCL000001,DCL008133,10,6,B04,Email domain and local-part prefix,1,60,STG074800,SUPPORT,SUP001498,STG029125,MARKETING,MKT007823,True,0.8,False,0.0,True,0.6087,False,0.0,False,0.0,False,0.0,0.7235,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000001,PCL008096
DCL000001,DCL008265,10,3,B04,Email domain and local-part prefix,1,30,STG074800,SUPPORT,SUP001498,STG031466,MARKETING,MKT010164,True,0.7917,False,0.0,True,0.6154,False,0.0,False,0.0,False,0.0,0.7212,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000001,PCL008219
DCL000001,DCL008899,10,2,B04,Email domain and local-part prefix,1,20,STG074800,SUPPORT,SUP001498,STG022781,MARKETING,MKT001479,True,0.8889,False,0.0,True,0.7826,False,0.0,False,0.0,False,0.0,0.8464,0.5,email,email | name,name,2,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000001,PCL008771
DCL000002,DCL010458,3,2,B04,Email domain and local-part prefix,1,6,STG024906,MARKETING,MKT003604,STG075099,SUPPORT,SUP001797,True,0.7917,False,0.0,True,0.6154,False,0.0,False,0.0,False,0.0,0.7212,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000002,PCL008207
DCL000004,DCL008800,5,4,B04,Email domain and local-part prefix,1,20,STG076419,SUPPORT,SUP003117,STG076450,SUPPORT,SUP003148,True,0.7917,False,0.0,True,0.6154,False,0.0,False,0.0,False,0.0,0.7212,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000004,PCL008689
DCL000005,DCL007819,4,7,B04,Email domain and local-part prefix,1,28,STG073844,SUPPORT,SUP000542,STG023981,MARKETING,MKT002679,True,0.7692,False,0.0,True,0.6,False,0.0,False,0.0,False,0.0,0.7015,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000005,PCL007816
DCL000006,DCL008749,14,4,B04,Email domain and local-part prefix,1,56,STG019021,ECOMMERCE,TXN011021,STG075553,SUPPORT,SUP002251,True,0.8182,False,0.0,True,0.6364,False,0.0,False,0.0,False,0.0,0.7455,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000006,PCL008643
DCL000009,DCL008825,9,3,B04,Email domain and local-part prefix,1,27,STG023527,MARKETING,MKT002225,STG074762,SUPPORT,SUP001460,True,0.7407,False,0.0,True,0.75,False,0.0,False,0.0,False,0.0,0.7444,0.5,,name,email | name,1,2,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000009,PCL000864
DCL000011,DCL008304,7,4,B04,Email domain and local-part prefix,1,28,STG074932,SUPPORT,SUP001630,STG076634,SUPPORT,SUP003332,True,0.8293,False,0.0,True,0.6316,False,0.0,False,0.0,False,0.0,0.7502,0.5,,email,email,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000011,PCL008256
DCL000011,DCL008683,7,1,B04,Email domain and local-part prefix,1,7,STG074932,SUPPORT,SUP001630,STG014634,ECOMMERCE,TXN006634,True,0.8571,False,0.0,True,0.7,False,0.0,False,0.0,False,0.0,0.7943,0.5,email,email,name,1,1,False,review,Weighted score falls within the review band,review,Weighted score falls within the review band,False,PCL000011,PCL008587
