ground_truth_id,evaluation_split,cluster_id_1,cluster_id_2,identity_records_in_cluster_1,identity_records_in_cluster_2,true_record_pair_opportunities,cluster_size_1,cluster_size_2,blocking_rules,blocking_rule_names,blocking_hits,candidate_generated,evaluated_cluster_id_1,evaluated_cluster_id_2,weighted_similarity_score,evidence_coverage,sufficient_support,static_conflict,selected_decision,selected_reason,selected_automatic_threshold,selected_minimum_coverage,false_negative_reason
GT000008,evaluation,DCL003307,DCL009928,7,1,7,7,1,B04,Email domain and local-part prefix,1,True,ECL003307,ECL009865,0.9692,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000013,calibration,DCL008550,DCL010605,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL008535,ECL010511,0.9854,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000014,calibration,DCL005590,DCL009760,20,1,20,,,,,,False,ECL005590,ECL009704,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000032,calibration,DCL005673,DCL010373,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL005673,ECL010289,0.9167,0.4,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000035,calibration,DCL008426,DCL009709,2,1,2,,,,,,False,ECL008415,ECL009656,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000036,calibration,DCL003030,DCL010486,2,1,2,,,,,,False,ECL003030,ECL010397,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000037,evaluation,DCL003963,DCL009798,1,1,1,,,,,,False,ECL003963,ECL009742,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000048,evaluation,DCL008412,DCL010378,5,1,5,5,1,B04,Email domain and local-part prefix,1,True,ECL008401,ECL010294,1.0,0.3,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000071,calibration,DCL007774,DCL010655,18,1,18,,,,,,False,ECL007774,ECL010559,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000077,evaluation,DCL003249,DCL010087,9,1,9,9,1,B04,Email domain and local-part prefix,1,True,ECL003249,ECL010018,0.9,0.4,False,False,,,0.91,0.55,True pair lacked the required corroborating evidence
GT000079,evaluation,DCL003716,DCL010653,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL003716,ECL010557,0.9838,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000082,calibration,DCL008849,DCL010535,2,1,2,2,1,B04,Email domain and local-part prefix,1,True,ECL008823,ECL010444,0.9871,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
GT000096,evaluation,DCL003916,DCL010447,5,1,5,,,,,,False,ECL003916,ECL010358,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000103,evaluation,DCL007857,DCL010328,2,1,2,,,,,,False,ECL007855,ECL010246,0.0,0.0,False,False,,,0.91,0.55,True pair was not generated by blocking
GT000104,evaluation,DCL000877,DCL010512,4,1,4,4,1,B04,Email domain and local-part prefix,1,True,ECL000877,ECL010421,0.9556,0.5,True,False,,,0.91,0.55,True pair had insufficient evidence coverage
