cluster_id_1,cluster_id_2,weighted_similarity_score,evidence_coverage,blocking_rules,record_id_1,record_id_2,ground_truth_ids_1,ground_truth_ids_2,shared_ground_truth_ids,is_true_cluster_match,evaluation_scope,best_record_pair_true_match,selected_decision,selected_reason,merge_performed,evaluated_cluster_id_1,evaluated_cluster_id_2
DCL005795,DCL008742,0.9886,0.65,B01 | B02 | B03 | B05,STG005795,STG015140,GT006126,GT006126,GT006126,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL005795,ECL005795
DCL007721,DCL008738,0.9886,0.65,B01 | B02 | B03 | B05,STG007721,STG015117,GT003643,GT003643,GT003643,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007721,ECL007721
DCL004363,DCL008925,0.9877,0.65,B01 | B02 | B03,STG011830,STG016850,GT006262,GT006262,GT006262,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004363,ECL004363
DCL004006,DCL008459,0.9866,0.65,B01 | B02 | B03 | B05,STG016042,STG012583,GT003372,GT003372,GT003372,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004006,ECL004006
DCL004113,DCL008484,0.9866,0.65,B01 | B02 | B03 | B05,STG017506,STG012757,GT008110,GT008110,GT008110,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004113,ECL004113
DCL006093,DCL009306,0.9866,0.65,B02 | B03 | B05,STG006093,STG020111,GT001347,GT001347,GT001347,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006093,ECL006093
DCL003525,DCL008890,0.9853,0.65,B02 | B03 | B05,STG012168,STG016469,GT009846,GT009846,GT009846,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003525,ECL003525
DCL007477,DCL009055,0.9853,0.65,B01 | B02 | B03 | B05,STG015201,STG018222,GT008092,GT008092,GT008092,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007477,ECL007477
DCL008135,DCL008623,0.9838,0.65,B02 | B03 | B05,STG010149,STG019405,GT003450,GT003450,GT003450,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008128,ECL008128
DCL003932,DCL008455,0.9819,0.65,B02 | B03 | B05,STG013900,STG012562,GT000171,GT000171,GT000171,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003932,ECL003932
DCL002141,DCL010714,0.9808,0.75,B04,STG076960,STG077545,GT002121,GT002121,GT002121,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002141,ECL002141
DCL000640,DCL008585,0.9798,0.95,B02 | B03 | B04 | B05,STG000640,STG013673,GT003528,GT003528,GT003528,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000640,ECL000640
DCL003543,DCL009032,0.9795,0.95,B01 | B02 | B03 | B05,STG003543,STG018004,GT007090,GT007090,GT007090,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003543,ECL003543
DCL006863,DCL009092,0.9795,0.95,B01 | B02 | B03 | B04 | B05,STG018406,STG018531,GT009822,GT009822,GT009822,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006863,ECL006863
DCL003489,DCL009297,0.9795,0.65,B02 | B03 | B05,STG003489,STG020053,GT007542,GT007542,GT007542,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003489,ECL003489
DCL006805,DCL008955,0.9784,0.95,B01 | B02 | B03 | B04 | B05,STG006805,STG017148,GT004595,GT004595,GT004595,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006805,ECL006805
DCL003661,DCL010660,0.9765,0.75,B04,STG076343,STG076301,GT000087,GT000087,GT000087,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003661,ECL003661
DCL003578,DCL008261,0.9762,0.6,B03 | B04,STG003578,STG017257,GT003607,GT003607,GT003607,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003578,ECL003578
DCL004840,DCL010672,0.9752,0.75,B04,STG011580,STG076641,GT005281,GT005281,GT005281,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004840,ECL004840
DCL005820,DCL007831,0.9744,0.65,B05,STG005820,STG009449,GT000905,GT000905,GT000905,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL005820,ECL005820
DCL008311,DCL009015,0.972,0.65,B02 | B03 | B05,STG011432,STG017815,GT006428,GT006428,GT006428,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008302,ECL008302
DCL007897,DCL008361,0.9712,0.95,B02 | B03 | B04 | B05,STG008548,STG011822,GT007208,GT007208,GT007208,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007895,ECL007895
DCL001570,DCL008368,0.9692,0.65,B01 | B02 | B03 | B05,STG001570,STG011889,GT001998,GT001998,GT001998,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001570,ECL001570
DCL009516,DCL010737,0.9691,0.75,B04,STG078198,STG077963,GT009808,GT009808,GT009808,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL009472,ECL009472
DCL008579,DCL008675,0.9677,0.95,B01 | B02 | B03 | B04 | B05,STG013640,STG014533,GT002624,GT002624,GT002624,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008563,ECL008563
DCL002049,DCL008630,0.9671,0.95,B01 | B02 | B03 | B05,STG002049,STG014050,GT009784,GT009784,GT009784,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002049,ECL002049
DCL002971,DCL008631,0.9669,0.7,B01 | B02 | B05,STG018681,STG014053,GT008776,GT008776,GT008776,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002971,ECL002971
DCL008127,DCL008851,0.9658,0.65,B05,STG010104,STG016072,GT004409,GT004409,GT004409,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008120,ECL008120
DCL007379,DCL008178,0.9639,0.95,B04 | B05,STG009773,STG010428,GT005271,GT005271,GT005271,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007379,ECL007379
DCL003928,DCL010576,0.9635,0.75,B04,STG015049,STG074540,GT004458,GT004458,GT004458,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003928,ECL003928
DCL002276,DCL010618,0.9627,0.75,B04,STG010578,STG075436,GT009715,GT009715,GT009715,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002276,ECL002276
DCL004782,DCL010695,0.9612,0.75,B04,STG074509,STG077324,GT006596,GT006596,GT006596,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004782,ECL004782
DCL006516,DCL010704,0.9612,0.75,B04,STG073420,STG077402,GT000976,GT000976,GT000976,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006516,ECL006516
DCL002814,DCL010543,0.9611,0.75,B04,STG015180,STG074038,GT003942,GT003942,GT003942,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002814,ECL002814
DCL002906,DCL010691,0.9582,0.75,B04,STG074949,STG077183,GT000021,GT000021,GT000021,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL002906,ECL002906
DCL008934,DCL010573,0.957,0.75,B04,STG016936,STG074465,GT007088,GT007088,GT007088,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008905,ECL008905
DCL003965,DCL009357,0.9522,0.95,B01 | B02 | B03 | B05,STG003965,STG020451,GT000140,GT000140,GT000140,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL003965,ECL003965
DCL000497,DCL008637,0.9457,0.65,B01 | B02 | B03 | B05,STG000497,STG014157,GT007445,GT007445,GT007445,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000497,ECL000497
DCL007957,DCL008099,0.9359,0.95,B01 | B02 | B03 | B05,STG008916,STG009879,GT002325,GT002325,GT002325,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007953,ECL007953
DCL006290,DCL009724,0.9349,0.6,B04,STG030812,STG023265,GT003173,GT003173,GT003173,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006290,ECL006290
DCL005617,DCL009831,0.933,0.6,B04,STG021342,STG024750,GT008759,GT008759,GT008759,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL005617,ECL005617
DCL001164,DCL010320,0.9321,0.6,B04,STG030489,STG030822,GT006628,GT006628,GT006628,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001164,ECL001164
DCL001917,DCL010216,0.9321,0.6,B04,STG015885,STG029515,GT009336,GT009336,GT009336,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001917,ECL001917
DCL004384,DCL010168,0.9321,0.6,B04,STG004384,STG028829,GT006168,GT006168,GT006168,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004384,ECL004384
DCL004974,DCL010386,0.9321,0.6,B04,STG004974,STG031742,GT005522,GT005522,GT005522,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004974,ECL004974
DCL008002,DCL009851,0.9321,0.6,B04,STG024657,STG025066,GT009374,GT009374,GT009374,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007998,ECL007998
DCL007201,DCL008461,0.9309,0.95,B02 | B03 | B05,STG007201,STG015477,GT002011,GT002011,GT002011,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007201,ECL007201
DCL001046,DCL010030,0.93,0.6,B04,STG027995,STG027133,GT003495,GT003495,GT003495,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001046,ECL001046
DCL004812,DCL010146,0.93,0.6,B04,STG027418,STG028418,GT009863,GT009863,GT009863,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL004812,ECL004812
DCL006904,DCL010413,0.93,0.6,B04,STG020784,STG032174,GT003075,GT003075,GT003075,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL006904,ECL006904
DCL008038,DCL010313,0.93,0.6,B04,STG026089,STG030791,GT008748,GT008748,GT008748,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008034,ECL008034
DCL008427,DCL009184,0.9296,0.95,B02 | B03 | B05,STG012364,STG019353,GT008529,GT008529,GT008529,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL008416,ECL008416
DCL007900,DCL009842,0.9286,0.6,B04,STG026973,STG024977,GT000338,GT000338,GT000338,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL007898,ECL007898
DCL009643,DCL010301,0.9286,0.6,B04,STG022407,STG030595,GT007065,GT007065,GT007065,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL009593,ECL009593
DCL000040,DCL010500,0.9248,0.6,B04,STG020948,STG033213,GT003989,GT003989,GT003989,True,evaluation,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL000040,ECL000040
DCL001893,DCL010361,0.9248,0.6,B04,STG020344,STG031374,GT007746,GT007746,GT007746,True,calibration,True,accepted_merge,Frozen automatic criteria and cluster safeguards satisfied,True,ECL001893,ECL001893
